Open,O1,H1,L1,V1,O2,H2,L2,V2,O3,H3,L3,V3
177.96,175.48,177.12,175.07,24518850.0,174.94,175.85,174.27,31686450.0,177.91,178.25,176.13,23273160.0
118.75,117.99,119.41,117.75,38063130.0,118.29,118.41,117.6,13046450.0,119.21,119.23,117.92,21341960.0
265.58,266.94,267.16,262.5,26334880.0,262.71,266.44,262.52,21029520.0,262.59,263.18,260.84,16331260.0
173.36,170.78,173.7,170.78,25047130.0,170.29,170.56,169.56,16041550.0,171.04,171.39,169.64,21884010.0
219.01,217.15,218.74,216.33,20400770.0,216.6,216.9,215.11,18457720.0,214.65,217.05,214.6,18505780.0
117.95,117.1,117.74,117.0,23492650.0,116.81,116.91,116.28,22527690.0,116.86,117.38,116.33,24100150.0
170.43,172.63,172.92,167.16,41459120.0,174.3,174.87,171.86,26387240.0,175.05,175.08,173.34,20591090.0
203.65,205.79,206.5,202.36,20929310.0,204.0,205.88,203.7,18582160.0,204.05,205.09,203.27,14107450.0
177.32,178.65,179.12,177.62,38313330.0,178.5,180.24,178.07,22676520.0,180.32,180.52,177.81,29334630.0
170.8,174.68,175.42,174.5,16339690.0,174.17,176.02,174.1,20848660.0,174.87,175.42,173.25,23451420.0
111.13,111.36,111.51,110.33,27420550.0,111.95,112.42,111.4,25931710.0,110.12,111.99,110.01,29164190.0
199.13,190.3,192.14,189.34,37847260.0,191.9,192.2,189.07,20912890.0,194.99,195.19,190.1,23975350.0
174.16,171.58,173.0,171.38,18890250.0,171.8,172.37,170.3,17154540.0,171.19,173.32,170.99,25323890.0
119.21,117.33,119.35,117.12,42747950.0,119.27,119.73,117.34,32445680.0,119.2,119.92,118.85,34135230.0
204.09,202.45,204.0,202.2,17595210.0,203.31,204.39,201.71,20191840.0,201.85,203.73,201.56,17897140.0
191.78,189.69,192.55,189.69,20182050.0,191.78,191.8,189.93,16365720.0,189.75,191.87,189.2,15515000.0
92.72,93.48,93.57,92.46,28641180.0,93.33,93.57,92.11,33653020.0,93.0,93.77,92.59,32895650.0
95.42,96.47,96.71,95.4,40814360.0,94.79,97.34,94.35,64332440.0,93.79,94.52,92.39,55622370.0
191.08,189.53,191.41,189.31,18000180.0,188.5,189.78,187.61,18776390.0,190.71,191.28,190.18,15801370.0
143.72,144.19,144.5,143.5,21189000.0,143.68,144.49,143.19,29174040.0,140.91,144.04,140.62,33348400.0
107.39,108.57,108.75,107.68,23606240.0,108.59,109.32,108.53,21236850.0,108.86,109.1,107.85,25784420.0
108.23,107.52,108.37,107.16,28010430.0,106.27,107.65,106.18,39546610.0,105.58,106.0,105.28,26781730.0
182.59,180.29,182.39,180.21,32191070.0,177.96,180.0,177.39,32130360.0,175.48,177.12,175.07,24518850.0
166.0,165.38,167.53,164.39,33753490.0,165.45,168.35,162.73,43250420.0,169.0,169.08,165.28,40620360.0
153.89,153.8,154.72,153.54,25402270.0,151.78,153.92,151.69,35907770.0,149.99,151.83,149.16,44366140.0
155.8,157.9,158.26,153.83,52126240.0,159.51,159.77,158.44,20565620.0,160.11,160.5,158.0,28157630.0
200.32,196.42,200.23,196.34,25829880.0,196.45,197.1,195.93,18473070.0,194.79,196.37,193.14,19090050.0
155.25,155.02,155.98,154.48,21017560.0,153.9,155.81,153.78,26591850.0,154.34,154.45,153.46,25277680.0
107.27,107.4,107.72,106.45,32728460.0,107.28,107.37,105.57,47507230.0,108.91,109.52,105.81,96197190.0
114.35,113.85,113.99,112.44,35951900.0,113.05,114.12,112.51,34494150.0,115.19,116.18,113.25,46937190.0
139.41,139.3,139.65,138.84,15281850.0,138.85,139.43,138.82,17048800.0,139.25,139.36,138.64,19578920.0
220.15,219.01,220.54,218.92,22751390.0,217.15,218.74,216.33,20400770.0,216.6,216.9,215.11,18457720.0
115.19,115.12,116.13,114.04,79763890.0,113.86,115.73,113.49,90398170.0,108.73,113.03,108.6,111186900.0
304.51,312.15,315.95,303.21,50155640.0,317.83,319.69,310.91,40575260.0,308.1,317.05,307.24,36486560.0
246.5,255.6,262.49,252.0,49250500.0,250.74,255.52,249.4,41994110.0,252.75,255.87,247.05,51054150.0
138.95,139.06,139.98,138.79,17439210.0,139.37,139.77,138.6,21229890.0,138.78,139.83,138.59,21555370.0
225.82,226.27,229.93,225.84,30889270.0,225.64,227.49,223.89,34755550.0,218.43,220.96,215.13,30352690.0
218.01,220.95,221.85,216.47,39194720.0,221.85,225.37,220.71,37418910.0,226.23,227.35,221.3,34121240.0
126.04,125.03,125.76,124.32,41365600.0,121.94,123.85,121.21,61292800.0,123.85,124.06,119.22,78291510.0
123.15,123.38,123.91,122.55,33570380.0,123.09,123.61,122.12,44371580.0,125.32,125.74,123.9,42090320.0
324.74,324.19,326.22,323.35,23686890.0,321.47,327.22,321.47,28432570.0,323.6,323.9,318.71,23580780.0
98.55,98.68,100.13,96.43,80742460.0,100.56,102.37,99.87,68384270.0,105.75,105.85,102.41,55583140.0
117.52,118.98,119.86,117.81,32063100.0,115.29,119.25,115.11,57717870.0,116.55,116.79,114.22,41511380.0
247.51,241.95,259.08,240.0,80605870.0,264.89,279.92,252.95,92683030.0,255.94,270.0,248.0,104618500.0
120.99,118.7,120.69,118.27,51106100.0,116.93,119.3,116.06,85436210.0,115.4,116.54,113.99,67673450.0
